Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,Similar Artists,source_file,predicted_score
Haunted,Bill Pritchard,49.950574442424085,,,,"Grant McLennan, Black Rivers, The Pearlfishers, Robyn Hitchcock & the Venus 3, Adrian Borland, Steve Kilbey, The Jazz Butcher Conspiracy, Paul Weller",,
Stupid Kids,Master Peace,49.212696950813545,,,,"Gossip, Blossoms, The Wombats, Bill Ryder-Jones, Circa Waves, Bombay Bicycle Club, Declan McKenna, The Vaccines",,
The Romantic,Bruno Mars,48.998823692089786,,,,"Bruno Mars, Anderson .Paak, Silk Sonic, Ne-Yo, Usher, Charlie Puth, Jason Derülo, Justin Timberlake, Rihanna, Maroon 5",,
Podunk,Trey Pendley,48.52915822641959,,,,"The Lowdown Drifters, Colten Jesse, Tim Goodin, Carson Jeffrey, Jarrod Morris, Tyler Hatley, James Tucker, Nicholas Jamerson",,
What a Life,Magoo,47.06861179501401,,,,"Rubicks, Chalk Dinosaur, Appliance, Ladyfuzz, Seafood, bravecaptain, Zea, Misty's Big Adventure",,
Swet Deth,Crooked Fingers;Mac McCaughan,46.16582457281125,,,,,,
Loose Jacks,Flaccid Mojo,45.84856829566591,,,,"Spiked Punch, Black Dice, Terrestrial Tones, Eric Copeland, Spring Breeding, Losssy, Geologist & D.S., Nathan Fake",,
a short history of decay,Nothing,45.50604345000664,,,,"Whirr, Cloakroom, Trauma Ray, Slow Crush, Narrow Head, Greet Death, All Under Heaven, Glare",,
Marathon,Maria BC,43.428387834929445,,,,"Hilary Woods, Julianna Barwick & Mary Lattimore, Maria Somerville, Julianna Barwick, Joanne Robertson, Lala Lala, Marissa Nadler, Bill Callahan",,
J is for Joon,Ms* Gloom,43.11113776496124,,,,"bassvictim, cece natalie, Somewhere Special, Ikeda, MGNA Crrrta, Cowgirl Clue, DJ_Dave, Hunnygloss",,
Prove The Mountains Move,EXEK,40.744887047583006,,,,"Straw Man Army, Total Control, The Serfs, THE DRIN, Preoccupations, LANDOWNER, Telstar Drugs, Crack Cloud",,
Somersaults,deathcrash,40.367224398384906,,,,"Shallowater, Early Day Miners, Codeine, Idaho, Horse Jumper of Love, Bedhead, peaer, Seam",,
An Evening at the Fetzicon Lounge,Jeremy Fetzer,39.22968593070344,,,,"Leslie Stevens, The Kernal, Steelism, Kashena Sampson, Dee White, Western Centuries, Jeremy Ivey, Bria",,
Staring at the Sun (Deluxe Edition),Hotel Fiction,37.25452264643258,,,,"Anna Shoemaker, Bel, Lighthearted, Cece Coakley, RAFFAELLA, Hana Eid, Kristiane, Keni Titus",,
Heaven Was Wild,Hey Colossus,36.284653766798,,,,"Sex Swing, Part Chimp, Oneida, Whores., Young Widows, Kowloon Walled City, Pissed Jeans, Chat Pile",,
New Day Symptoms,Final Gasp,29.593094515665346,,,,"GYLT, Filth is Eternal, Chain Cult, Angel Du$t, Devil Master, Gumm, New Skeletal Faces, Restraining Order",,
Dreamers in Exile,Voxtrot,,80.0,2026-03-17 15:58:41,A tiny bit synthy indie rock band ,,02-27-26_Album_Recommendations.csv,
BASE,Ritt Momney,,68.0,2026-03-17 21:28:26,Reviewed it for indie basketball.,,02-27-26_Album_Recommendations.csv,
Heaven 2,Lala Lala,,80.0,2026-03-18 11:04:53,,,02-27-26_Album_Recommendations.csv,
Doomsday...Don't Leave Me Here,Rosie Carney,,80.0,2026-03-19 09:05:38,We have another entry into the sad girl indie universe!,,02-27-26_Album_Recommendations.csv,
