Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,source_file,predicted_score
locket,Madison Beer,71.81916111347017,,,,,
Shaking Hand,Shaking Hand,67.76275923963416,,,,,
So Much Country ‘Till We Get There,Westside Cowboy,62.480535395853806,,,,,
Dance Para Se Salvar,Diogo Strausz,48.78624240652576,,,,,
Dream Archives,Craig Taborn;Tomeka Reid;Ches Smith,46.86356675034167,,,,,
Dreamer+,Sassy 009,34.17448002674862,,,,,
Tragic Magic,Julianna Barwick;Mary Lattimore,,61.0,2026-01-16 19:29:25,,01-16-26_Album_Recommendations.csv,
Celestun,Tyler Ramsey;Carl Broemel,,54.0,2026-01-16 19:29:37,,01-16-26_Album_Recommendations.csv,
Your Picture,The Sha La Das,,53.0,2026-01-16 19:29:42,,01-16-26_Album_Recommendations.csv,
Don't Be Dumb,A$AP Rocky,,57.0,2026-01-16 19:29:46,,01-16-26_Album_Recommendations.csv,
Jana Horn,Jana Horn,,50.0,2026-01-16 19:29:55,,01-16-26_Album_Recommendations.csv,
Valentine,Courtney Marie Andrews,,65.0,2026-01-16 20:46:22,,01-16-26_Album_Recommendations.csv,
BRITPOP,Robbie Williams;Tony Iommi,,44.0,2026-01-17 16:44:57,,01-16-26_Album_Recommendations.csv,
Oxis 8,Oxis,,73.0,2026-01-17 16:59:05,,01-16-26_Album_Recommendations.csv,
