Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,source_file,predicted_score
Chapter 1,SAULT,100.0,67.0,2026-01-11 13:01:09,,01-09-26_Album_Recommendations.csv,
Bloodline,Mon Rovîa,97.87031482958076,91.0,2026-01-11 13:01:16,,01-09-26_Album_Recommendations.csv,
¿Dónde Es El After?,Rawayana,47.65910631583436,,,,,
EP 2025,Bad Beat,45.32463202805617,,,,,
Secret Love,Dry Cleaning,,71.0,2026-01-11 14:56:32,,01-09-26_Album_Recommendations.csv,
With Heaven On Top,Zach Bryan,,57.0,2026-01-12 13:20:05,,01-09-26_Album_Recommendations.csv,
Selling A Vibe,The Cribs,,54.0,2026-01-12 13:41:29,,01-09-26_Album_Recommendations.csv,
BEFORE I FORGET,The Kid LAROI,,57.0,2026-01-12 13:55:59,,01-09-26_Album_Recommendations.csv,
Quicksand Heart,Jenny on Holiday,,65.0,2026-01-12 14:26:34,,01-09-26_Album_Recommendations.csv,
A Binding Life,Home Star,,85.0,2026-01-13 15:44:24,,01-09-26_Album_Recommendations.csv,
Tempelschlaf,The Ruins Of Beverast,,30.0,2026-01-13 15:44:51,,01-09-26_Album_Recommendations.csv,
Within Dreams,Feels Like Heaven,,40.0,2026-01-13 15:45:05,,01-09-26_Album_Recommendations.csv,
III,Pullman,,59.0,2026-01-13 15:45:29,,01-09-26_Album_Recommendations.csv,
Powder Keg,Clémentine March,,45.0,2026-01-13 15:45:49,,01-09-26_Album_Recommendations.csv,
Desert So Green,Winged Wheel,,37.0,2026-01-13 15:46:16,,01-09-26_Album_Recommendations.csv,
"XO, My Cyberlove",CHUU,,62.0,2026-01-13 15:48:18,,01-09-26_Album_Recommendations.csv,
