Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,source_file,predicted_score
I Swam Here,John Craigie,71.04686017034763,,,,,
Jessica Pratt,Asher White,67.07845426884968,,,,,
URGH,"Mandy, Indiana",64.96370010759114,,,,,
Welcome To Music City,Music City,64.39385495534583,,,,,
The Fall-Off,J. Cole,56.80987709797768,,,,,
Butterfly,Daphni,49.73934842310769,,,,,
Laughter In Summer,Beverly Glenn-Copeland,49.047156593031744,,,,,
Havin' A Talk,Melissa Carper;Theo Lawrence,46.03926039044649,,,,,
"long time caller, first time listener",vegas water taxi,45.6176498276192,,,,,
Black Sheep,Mickey Diamond;Big Ghost Ltd,44.281639194213504,,,,,
Dirt Buyer III,Dirt Buyer,43.098609290614085,,,,,
Liturgy of Death,Mayhem;Garm,41.57954420088905,,,,,
My Ghosts Go Ghost,By Storm;Injury Reserve,37.841226523285854,,,,,
EXPO,Ulrika Spacek,36.6431324672217,,,,,
Patchwork,Charlotte Day Wilson,36.267683102494445,,,,,
Move On With The Year,Alice Costelloe,,58.0,2026-03-17 11:54:28,,02-06-26_Album_Recommendations.csv,
Singin’ to an Empty Chair,Ratboys,,84.0,2026-03-21 17:52:30,,02-06-26_Album_Recommendations.csv,
