Album,Artist,Predicted_Score,gut_score,gut_score_date,notes,source_file,predicted_score
Live at Glasshaus,Annahstasia,73.18600487535959,,,,,
Better in My Head,Kiss the Scientist,70.07390155879654,,,,,
Jason P. Woodbury and The Night Bird Singing Quartet,Jason P. Woodbury,68.91141497152483,,,,,
Sit Down for Rock and Roll,The Foot & Leg Clinic,68.82869118170696,,,,,
Back to Dust,Hollow Suns,68.66485340289468,,,,,
Paris In The Spring,Alexis Taylor,67.9227470314125,,,,,
Still There’s a Glow,Sweet Pill,66.88554749946357,,,,,
paint me like one of your fav american girls,googly eyes,65.03515360908413,,,,,
Bridge of Sacrifice,Powerplant,64.8100701762579,,,,,
Hard Hearted Woman,Ora Cogan,64.39150908863918,,,,,
20nothing,Blessing Jolie,64.20081560579295,,,,,
Feature Presentation 2025,Nas,63.62975579939585,,,,,
News from Planet Zombie,The Notwist,63.50914611961958,,,,,
Foggy Mountain Mental Breakdown,Sweet Petunia,63.364992183419695,,,,,
Big Disgrace,Haute & Freddy,63.302396661423536,,,,,
ANGEL'S MESS,WAAX,63.08118425266695,,,,,
Grandpa's Mill,Colton Bowlin,62.52947158619821,,,,,
Lean In,Art School Girlfriend,61.0996653341791,,,,,
LK99,Leven Kali,59.51056533903853,,,,,
Well I Mean,Sella,55.38016324173485,,,,,
"I've Got Nothing to Lose, and I'm Losing It",Morgan Nagler,51.99294040709029,,,,,
True,Tenderness,49.445896161322665,,,,,
Weimar,Mary Ocher,48.95836325799899,,,,,
(Un)planted,midori jaeger,47.66061797153253,,,,,
I Guess U Had To Be There,E L U C I D;Sebb Bash,46.8159146051571,,,,,
PUSH & PAINT,Bruiser Wolf;Payroll Giovanni;Sheefy Mcfly,46.14132176592149,,,,,
Thirteen,Soft Machine,45.88647239995316,,,,,
Music in Continuous Motion,Bill Orcutt,42.65923911434247,,,,,
Miami Lice: Season Four,Lice;Aesop Rock;Homeboy Sandman,41.902226798513865,,,,,
Into Oblivion,Lamb of God,39.00509075710367,,,,,
PLAY ME,Kim Gordon,29.82986269671439,,,,,
"SOMEWHERE, IN BETWEEN...",UnityTX,29.62069190285117,,,,,
Irreversible,Brigitte Calls Me Baby,,80.0,2026-03-14 14:24:35,A little dreamier than paste efforts.,03-13-26_Album_Recommendations.csv,
Mud Blood Bone,Cat Clyde,,92.0,2026-03-14 16:18:27,My favorite rock-a-billy influenced folk singer.,03-13-26_Album_Recommendations.csv,
Only You Left,The Orielles,,65.0,2026-03-14 16:28:43,"A little too lowkey, slightly if dry cleaning was 40% more bedroom pop.",03-13-26_Album_Recommendations.csv,
GOLDSTAR,The Sophs,,77.0,2026-03-14 16:46:55,"A touch of camp, indie-rock for the girls, and alt-radio bois. But it's vibey.",03-13-26_Album_Recommendations.csv,
You’re Free to Go,Anjimile,,79.0,2026-03-15 18:33:48,Reminds me a little of Mon Rovia. Same lane.,03-13-26_Album_Recommendations.csv,
The Wake,Foy Vance,,57.0,2026-03-15 19:03:48,,03-13-26_Album_Recommendations.csv,
Transmitter,Cut Worms,,81.0,2026-03-15 19:34:53,,03-13-26_Album_Recommendations.csv,
Trying Times,James Blake,,75.0,2026-03-15 21:06:51,,03-13-26_Album_Recommendations.csv,
Lotus Bridge,The Monochrome Set,,62.0,2026-03-15 21:45:53,,03-13-26_Album_Recommendations.csv,
Monica,Jack Harlow,,70.0,2026-03-16 09:40:07,,03-13-26_Album_Recommendations.csv,
Preservers Of The Pearl,Daniel Romano;The Outfit,,63.0,2026-03-16 10:06:24,,03-13-26_Album_Recommendations.csv,
